Id,Id2,Tract,population,employed,maleEmployed,femaleEmployed,income,maleIncome,femaleIncome
1400000US06075021300,6075021300,"Census Tract 213, San Francisco County, California",85833,1650,55.2,44.8,85833,86953,76750
1400000US06075021400,6075021400,"Census Tract 214, San Francisco County, California",83371,2247,52.4,47.6,83371,101948,63824
1400000US06075021500,6075021500,"Census Tract 215, San Francisco County, California",65655,3227,50,50,65655,80625,62926
1400000US06075021600,6075021600,"Census Tract 216, San Francisco County, California",61942,2867,51.6,48.4,61942,83495,56314
1400000US06075021700,6075021700,"Census Tract 217, San Francisco County, California",70848,2193,56.9,43.1,70848,88516,62000
1400000US06075021800,6075021800,"Census Tract 218, San Francisco County, California",76288,2530,51.2,48.8,76288,92794,65500
1400000US06075022600,6075022600,"Census Tract 226, San Francisco County, California",100000,1440,61.9,38.1,100000,107303,76397
1400000US06075022702,6075022702,"Census Tract 227.02, San Francisco County, California",80223,1567,58.3,41.7,80223,93594,62993
1400000US06075022704,6075022704,"Census Tract 227.04, San Francisco County, California",86156,2321,55,45,86156,95179,82031
1400000US06075022801,6075022801,"Census Tract 228.01, San Francisco County, California",52207,3130,55.1,44.9,52207,65179,40054
1400000US06075022802,6075022802,"Census Tract 228.02, San Francisco County, California",34632,1047,53.3,46.7,34632,40407,33792
1400000US06075022803,6075022803,"Census Tract 228.03, San Francisco County, California",33440,3009,54,46,33440,36954,27614
1400000US06075022901,6075022901,"Census Tract 229.01, San Francisco County, California",32079,2795,61,39,32079,33603,28542
1400000US06075022902,6075022902,"Census Tract 229.02, San Francisco County, California",38333,1606,49.5,50.5,38333,48393,34051
1400000US06075022903,6075022903,"Census Tract 229.03, San Francisco County, California",39531,1765,46.5,53.5,39531,53654,29717
1400000US06075023001,6075023001,"Census Tract 230.01, San Francisco County, California",24531,2167,55.3,44.7,24531,31061,22934
1400000US06075023003,6075023003,"Census Tract 230.03, San Francisco County, California",37266,2291,47.6,52.4,37266,38458,35302
1400000US06075023102,6075023102,"Census Tract 231.02, San Francisco County, California",28085,1882,35.5,64.5,28085,33668,23004
1400000US06075023103,6075023103,"Census Tract 231.03, San Francisco County, California",28710,590,43.7,56.3,28710,37283,25089
1400000US06075023200,6075023200,"Census Tract 232, San Francisco County, California",31875,1710,51.2,48.8,31875,33955,24429
1400000US06075023300,6075023300,"Census Tract 233, San Francisco County, California",32232,1698,54.8,45.2,32232,38804,25588
1400000US06075023400,6075023400,"Census Tract 234, San Francisco County, California",24739,1415,54.9,45.1,24739,32375,23042
1400000US06075025100,6075025100,"Census Tract 251, San Francisco County, California",56596,2009,52.6,47.4,56596,64118,50096
1400000US06075025200,6075025200,"Census Tract 252, San Francisco County, California",58992,3402,51.1,48.9,58992,75238,50223
1400000US06075025300,6075025300,"Census Tract 253, San Francisco County, California",55951,2965,57.6,42.4,55951,59919,52417
1400000US06075025401,6075025401,"Census Tract 254.01, San Francisco County, California",54236,1757,51.1,48.9,54236,58077,51827
1400000US06075025402,6075025402,"Census Tract 254.02, San Francisco County, California",46513,2007,51.7,48.3,46513,46579,44792
1400000US06075025403,6075025403,"Census Tract 254.03, San Francisco County, California",27377,2694,51.7,48.3,27377,26899,30000
1400000US06075025500,6075025500,"Census Tract 255, San Francisco County, California",42231,4879,51.6,48.4,42231,47439,35850
1400000US06075025600,6075025600,"Census Tract 256, San Francisco County, California",30631,2834,56.9,43.1,30631,29427,31173
1400000US06075025701,6075025701,"Census Tract 257.01, San Francisco County, California",40176,2536,45.7,54.3,40176,43796,30925
1400000US06075025702,6075025702,"Census Tract 257.02, San Francisco County, California",30447,2237,52.4,47.6,30447,30931,30291
1400000US06075025800,6075025800,"Census Tract 258, San Francisco County, California",33553,924,39,61,33553,40446,30100
1400000US06075025900,6075025900,"Census Tract 259, San Francisco County, California",35306,2207,52.4,47.6,35306,48775,31553
1400000US06075026001,6075026001,"Census Tract 260.01, San Francisco County, California",27255,2723,50.8,49.2,27255,34913,23532
1400000US06075026002,6075026002,"Census Tract 260.02, San Francisco County, California",30368,1992,54.2,45.8,30368,28707,31199
1400000US06075026003,6075026003,"Census Tract 260.03, San Francisco County, California",23131,2898,56.3,43.7,23131,21925,24726
1400000US06075026004,6075026004,"Census Tract 260.04, San Francisco County, California",30519,2380,53.9,46.1,30519,34167,27885
1400000US06075026100,6075026100,"Census Tract 261, San Francisco County, California",34161,3083,42.9,57.1,34161,43784,30403
1400000US06075026200,6075026200,"Census Tract 262, San Francisco County, California",32904,3798,50.9,49.1,32904,34070,32276
1400000US06075026301,6075026301,"Census Tract 263.01, San Francisco County, California",31668,2295,50.8,49.2,31668,33938,30526
1400000US06075026302,6075026302,"Census Tract 263.02, San Francisco County, California",31458,2756,51.9,48.1,31458,39878,28343
1400000US06075026303,6075026303,"Census Tract 263.03, San Francisco County, California",32821,2453,50.6,49.4,32821,33462,32611
1400000US06075026401,6075026401,"Census Tract 264.01, San Francisco County, California",29167,1678,50.9,49.1,29167,31741,25231
1400000US06075026402,6075026402,"Census Tract 264.02, San Francisco County, California",34989,2053,49.8,50.2,34989,35952,32188
1400000US06075026403,6075026403,"Census Tract 264.03, San Francisco County, California",25548,1693,46.2,53.8,25548,25524,25580
1400000US06075026404,6075026404,"Census Tract 264.04, San Francisco County, California",23429,1230,41.1,58.9,23429,27500,21205
1400000US06075030101,6075030101,"Census Tract 301.01, San Francisco County, California",47113,3205,49.3,50.7,47113,44119,49842
1400000US06075030102,6075030102,"Census Tract 301.02, San Francisco County, California",76651,2916,56.7,43.3,76651,90607,61440
1400000US06075030201,6075030201,"Census Tract 302.01, San Francisco County, California",52137,2614,46.4,53.6,52137,62171,47061
1400000US06075030202,6075030202,"Census Tract 302.02, San Francisco County, California",62366,2604,51.1,48.9,62366,85563,51592
1400000US06075030301,6075030301,"Census Tract 303.01, San Francisco County, California",62585,3159,53.8,46.2,62585,69917,46717
1400000US06075030302,6075030302,"Census Tract 303.02, San Francisco County, California",57946,1867,48.1,51.9,57946,98000,40609
1400000US06075030400,6075030400,"Census Tract 304, San Francisco County, California",75147,2834,48.4,51.6,75147,93712,58688
1400000US06075030500,6075030500,"Census Tract 305, San Francisco County, California",72500,1180,53.8,46.2,72500,71736,73224
1400000US06075030600,6075030600,"Census Tract 306, San Francisco County, California",77284,1156,56.1,43.9,77284,95833,75603
1400000US06075030700,6075030700,"Census Tract 307, San Francisco County, California",67382,3742,55.3,44.7,67382,76615,56534
1400000US06075030800,6075030800,"Census Tract 308, San Francisco County, California",80568,2730,64.3,35.7,80568,93654,72647
1400000US06075030900,6075030900,"Census Tract 309, San Francisco County, California",70897,3099,49.5,50.5,70897,93682,62219
1400000US06075031000,6075031000,"Census Tract 310, San Francisco County, California",53220,1976,54.1,45.9,53220,54631,44423
1400000US06075031100,6075031100,"Census Tract 311, San Francisco County, California",52405,3712,49.5,50.5,52405,66094,49559
1400000US06075031201,6075031201,"Census Tract 312.01, San Francisco County, California",31651,3592,48.4,51.6,31651,32179,31161
